year,month,category,cpi,region,period,estimatedcost,avg_wage
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538
2024,jan,Food Away From Home,371.193,West,Post-COVID,410.62,67345.38461538461
2025,jan,Food Away From Home,385.849,West,Post-COVID,426.83,70388.67695938653
2015,jan,Energy,214.552,West,Pre-COVID,299.83,47287.692307692305
2016,jan,Energy,218.529,West,Pre-COVID,305.39,48566.92307692308
2017,jan,Energy,228.035,West,Pre-COVID,318.68,49716.92307692308
2018,jan,Energy,244.32,West,Pre-COVID,341.43,50980.0
2019,jan,Energy,248.473,West,Pre-COVID,347.24,
2020,jan,Energy,263.417,West,Post-COVID,368.12,55413.07692307692
2021,jan,Energy,252.23,West,Post-COVID,352.49,57181.53846153846
2022,jan,Energy,328.641,West,Post-COVID,459.27,60580.769230769234
2023,jan,Energy,355.921,West,Post-COVID,497.39,64514.61538461538
2024,jan,Energy,352.784,West,Post-COVID,493.01,67345.38461538461
2025,jan,Energy,343.815,West,Post-COVID,480.48,70388.67695938653
2015,jan,Shelter,282.147,West,Pre-COVID,1524.58,47287.692307692305
2016,jan,Shelter,295.183,West,Pre-COVID,1595.02,48566.92307692308
2017,jan,Shelter,310.723,West,Pre-COVID,1678.99,49716.92307692308
2018,jan,Shelter,324.386,West,Pre-COVID,1752.82,50980.0
2019,jan,Shelter,337.955,West,Pre-COVID,1826.14,
2020,jan,Shelter,351.875,West,Post-COVID,1901.36,55413.07692307692
2021,jan,Shelter,357.04,West,Post-COVID,1929.27,57181.53846153846
2022,jan,Shelter,374.169,West,Post-COVID,2021.82,60580.769230769234
2023,jan,Shelter,403.199,West,Post-COVID,2178.69,64514.61538461538
2024,jan,Shelter,422.948,West,Post-COVID,2285.4,67345.38461538461
2025,jan,Shelter,436.72,West,Post-COVID,2359.82,70388.67695938653
2015,jan,Medical Care,447.286,West,Pre-COVID,418.42,47287.692307692305
2016,jan,Medical Care,460.641,West,Pre-COVID,430.91,48566.92307692308
2017,jan,Medical Care,476.005,West,Pre-COVID,445.28,49716.92307692308
2018,jan,Medical Care,487.607,West,Pre-COVID,456.14,50980.0
2019,jan,Medical Care,502.208,West,Pre-COVID,469.79,
2020,jan,Medical Care,533.905,West,Post-COVID,499.44,55413.07692307692
2021,jan,Medical Care,539.245,West,Post-COVID,504.44,57181.53846153846
2022,jan,Medical Care,555.913,West,Post-COVID,520.03,60580.769230769234
2023,jan,Medical Care,576.065,West,Post-COVID,538.88,64514.61538461538
2024,jan,Medical Care,599.698,West,Post-COVID,560.99,67345.38461538461
2025,jan,Medical Care,616.645,West,Post-COVID,576.84,70388.67695938653
2015,feb,Food at Home,249.628,West,Pre-COVID,350.17,47287.692307692305
2016,feb,Food at Home,250.045,West,Pre-COVID,350.75,48566.92307692308
2017,feb,Food at Home,245.268,West,Pre-COVID,344.05,49716.92307692308
2018,feb,Food at Home,245.834,West,Pre-COVID,344.84,50980.0
2019,feb,Food at Home,250.208,West,Pre-COVID,350.98,
2020,feb,Food at Home,253.013,West,Post-COVID,354.91,55413.07692307692
2021,feb,Food at Home,263.956,West,Post-COVID,370.27,57181.53846153846
2022,feb,Food at Home,288.722,West,Post-COVID,405.01,60580.769230769234
2023,feb,Food at Home,316.268,West,Post-COVID,443.65,64514.61538461538
2024,feb,Food at Home,319.779,West,Post-COVID,448.57,67345.38461538461
2025,feb,Food at Home,328.066,West,Post-COVID,460.2,70388.67695938653
2015,feb,Food Away From Home,247.524,West,Pre-COVID,272.92,47287.692307692305
2016,feb,Food Away From Home,255.841,West,Pre-COVID,282.09,48566.92307692308
2017,feb,Food Away From Home,263.827,West,Pre-COVID,290.89,49716.92307692308
2018,feb,Food Away From Home,272.39,West,Pre-COVID,300.33,50980.0
2019,feb,Food Away From Home,281.872,West,Pre-COVID,310.79,
2020,feb,Food Away From Home,293.38,West,Post-COVID,323.48,55413.07692307692
2021,feb,Food Away From Home,306.955,West,Post-COVID,338.44,57181.53846153846
2022,feb,Food Away From Home,326.611,West,Post-COVID,360.12,60580.769230769234
2023,feb,Food Away From Home,355.544,West,Post-COVID,392.02,64514.61538461538
2024,feb,Food Away From Home,371.29,West,Post-COVID,409.38,67345.38461538461
2025,feb,Food Away From Home,387.421,West,Post-COVID,427.17,70388.67695938653
2015,feb,Energy,220.63,West,Pre-COVID,299.83,47287.692307692305
2016,feb,Energy,205.191,West,Pre-COVID,278.85,48566.92307692308
2017,feb,Energy,230.081,West,Pre-COVID,312.68,49716.92307692308
2018,feb,Energy,249.957,West,Pre-COVID,339.69,50980.0
2019,feb,Energy,244.834,West,Pre-COVID,332.73,
2020,feb,Energy,260.843,West,Post-COVID,354.48,55413.07692307692
2021,feb,Energy,261.331,West,Post-COVID,355.15,57181.53846153846
2022,feb,Energy,331.185,West,Post-COVID,450.08,60580.769230769234
2023,feb,Energy,354.104,West,Post-COVID,481.22,64514.61538461538
2024,feb,Energy,356.324,West,Post-COVID,484.24,67345.38461538461
2025,feb,Energy,354.457,West,Post-COVID,481.7,70388.67695938653
2015,feb,Shelter,283.426,West,Pre-COVID,1524.58,47287.692307692305
2016,feb,Shelter,296.707,West,Pre-COVID,1596.02,48566.92307692308
2017,feb,Shelter,312.523,West,Pre-COVID,1681.1,49716.92307692308
2018,feb,Shelter,325.619,West,Pre-COVID,1751.54,50980.0
2019,feb,Shelter,339.427,West,Pre-COVID,1825.82,
2020,feb,Shelter,353.541,West,Post-COVID,1901.74,55413.07692307692
2021,feb,Shelter,357.67,West,Post-COVID,1923.95,57181.53846153846
2022,feb,Shelter,376.28,West,Post-COVID,2024.06,60580.769230769234
2023,feb,Shelter,406.18,West,Post-COVID,2184.89,64514.61538461538
2024,feb,Shelter,424.77,West,Post-COVID,2284.89,67345.38461538461
2025,feb,Shelter,438.028,West,Post-COVID,2356.21,70388.67695938653
2015,feb,Medical Care,449.719,West,Pre-COVID,418.42,47287.692307692305
2016,feb,Medical Care,466.39,West,Pre-COVID,433.93,48566.92307692308
2017,feb,Medical Care,474.386,West,Pre-COVID,441.37,49716.92307692308
2018,feb,Medical Care,488.655,West,Pre-COVID,454.64,50980.0
2019,feb,Medical Care,502.117,West,Pre-COVID,467.17,
2020,feb,Medical Care,533.413,West,Post-COVID,496.29,55413.07692307692
2021,feb,Medical Care,539.796,West,Post-COVID,502.22,57181.53846153846
2022,feb,Medical Care,561.235,West,Post-COVID,522.17,60580.769230769234
2023,feb,Medical Care,570.411,West,Post-COVID,530.71,64514.61538461538
2024,feb,Medical Care,601.871,West,Post-COVID,559.98,67345.38461538461
2025,feb,Medical Care,619.282,West,Post-COVID,576.18,70388.67695938653
2015,mar,Food at Home,247.781,West,Pre-COVID,350.17,47287.692307692305
2016,mar,Food at Home,247.901,West,Pre-COVID,350.34,48566.92307692308
2017,mar,Food at Home,246.208,West,Pre-COVID,347.94,49716.92307692308
2018,mar,Food at Home,246.683,West,Pre-COVID,348.61,50980.0
2019,mar,Food at Home,250.581,West,Pre-COVID,354.12,
2020,mar,Food at Home,254.483,West,Post-COVID,359.64,55413.07692307692
2021,mar,Food at Home,264.033,West,Post-COVID,373.13,57181.53846153846
2022,mar,Food at Home,293.496,West,Post-COVID,414.77,60580.769230769234
2023,mar,Food at Home,315.503,West,Post-COVID,445.87,64514.61538461538
2024,mar,Food at Home,319.813,West,Post-COVID,451.96,67345.38461538461
2025,mar,Food at Home,330.443,West,Post-COVID,466.99,70388.67695938653
2015,mar,Food Away From Home,248.05,West,Pre-COVID,272.92,47287.692307692305
2016,mar,Food Away From Home,256.275,West,Pre-COVID,281.97,48566.92307692308
