year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.69,249.1335,47040.8108760746
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92,249.1335,48479.25653815949
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92,249.1335,50757.08643606471
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.82611286066
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,,249.1335,
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,,249.1335,
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,,249.1335,
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,,249.1335,
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,,249.1335,
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,,249.1335,
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.69,250.00616666666667,47918.89404863817
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92,250.00616666666667,47587.995626111275
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92,250.00616666666667,47325.735756719645
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.633891010504
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,,250.00616666666667,
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,,250.00616666666667,
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,,250.00616666666667,
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,,250.00616666666667,
2024,jan,Food Away From Home,371.193,West,Post-COVID,410.62,,250.00616666666667,
2025,jan,Food Away From Home,385.849,West,Post-COVID,426.83,,250.00616666666667,
2015,jan,Energy,214.552,West,Pre-COVID,299.83,47287.69,239.35733333333334,52754.83508843234
2016,jan,Energy,218.529,West,Pre-COVID,305.39,48566.92,239.35733333333334,53195.907451245985
2017,jan,Energy,228.035,West,Pre-COVID,318.68,49716.92,239.35733333333334,52185.451324343485
2018,jan,Energy,244.32,West,Pre-COVID,341.43,50980.0,239.35733333333334,49944.48613839773
2019,jan,Energy,248.473,West,Pre-COVID,347.24,,239.35733333333334,
2020,jan,Energy,263.417,West,Post-COVID,368.12,,239.35733333333334,
2021,jan,Energy,252.23,West,Post-COVID,352.49,,239.35733333333334,
2022,jan,Energy,328.641,West,Post-COVID,459.27,,239.35733333333334,
2023,jan,Energy,355.921,West,Post-COVID,497.39,,239.35733333333334,
2024,jan,Energy,352.784,West,Post-COVID,493.01,,239.35733333333334,
2025,jan,Energy,343.815,West,Post-COVID,480.48,,239.35733333333334,
2015,jan,Shelter,282.147,West,Pre-COVID,1524.58,47287.69,287.7921666666667,48233.81698817165
2016,jan,Shelter,295.183,West,Pre-COVID,1595.02,48566.92,287.7921666666667,47350.89464883366
2017,jan,Shelter,310.723,West,Pre-COVID,1678.99,49716.92,287.7921666666667,46047.89515675805
2018,jan,Shelter,324.386,West,Pre-COVID,1752.82,50980.0,287.7921666666667,45228.96998226393
2019,jan,Shelter,337.955,West,Pre-COVID,1826.14,,287.7921666666667,
2020,jan,Shelter,351.875,West,Post-COVID,1901.36,,287.7921666666667,
2021,jan,Shelter,357.04,West,Post-COVID,1929.27,,287.7921666666667,
2022,jan,Shelter,374.169,West,Post-COVID,2021.82,,287.7921666666667,
2023,jan,Shelter,403.199,West,Post-COVID,2178.69,,287.7921666666667,
2024,jan,Shelter,422.948,West,Post-COVID,2285.4,,287.7921666666667,
2025,jan,Shelter,436.72,West,Post-COVID,2359.82,,287.7921666666667,
2015,jan,Medical Care,447.286,West,Pre-COVID,418.42,47287.69,453.81483333333335,47977.92722345062
2016,jan,Medical Care,460.641,West,Pre-COVID,430.91,48566.92,453.81483333333335,47847.21443665095
2017,jan,Medical Care,476.005,West,Pre-COVID,445.28,49716.92,453.81483333333335,47399.24110806959
2018,jan,Medical Care,487.607,West,Pre-COVID,456.14,50980.0,453.81483333333335,47446.98128479151
2019,jan,Medical Care,502.208,West,Pre-COVID,469.79,,453.81483333333335,
2020,jan,Medical Care,533.905,West,Post-COVID,499.44,,453.81483333333335,
