year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846,250.00616666666667,46811.11
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234,250.00616666666667,46648.25
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538,250.00616666666667,45760.46
2024,jan,Food Away From Home,371.193,West,Post-COVID,410.62,67345.38461538461,250.00616666666667,45358.51
2025,jan,Food Away From Home,385.849,West,Post-COVID,426.83,70388.67695938653,250.00616666666667,45607.49
2015,jan,Energy,214.552,West,Pre-COVID,299.83,47287.692307692305,239.35733333333334,52754.84
2016,jan,Energy,218.529,West,Pre-COVID,305.39,48566.92307692308,239.35733333333334,53195.91
2017,jan,Energy,228.035,West,Pre-COVID,318.68,49716.92307692308,239.35733333333334,52185.45
