year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage,state
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Montana
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Idaho
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Wyoming
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Colorado
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,New Mexico
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Arizona
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Utah
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Nevada
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Washington
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Oregon
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,California
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Alaska
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305,249.1335,47040.81,Hawaii
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Montana
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Idaho
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Wyoming
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Colorado
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,New Mexico
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Arizona
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Utah
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Nevada
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Washington
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Oregon
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,California
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Alaska
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308,249.1335,48479.26,Hawaii
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Montana
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Idaho
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Wyoming
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Colorado
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,New Mexico
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Arizona
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Utah
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Nevada
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Washington
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Oregon
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,California
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Alaska
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308,249.1335,50757.09,Hawaii
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Montana
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Idaho
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Wyoming
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Colorado
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,New Mexico
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Arizona
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Utah
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Nevada
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Washington
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Oregon
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,California
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Alaska
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0,249.1335,51476.83,Hawaii
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Montana
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Idaho
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Wyoming
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Colorado
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,New Mexico
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Arizona
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Utah
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Nevada
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Washington
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Oregon
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,California
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Alaska
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,,249.1335,,Hawaii
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Montana
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Idaho
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Wyoming
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Colorado
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,New Mexico
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Arizona
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Utah
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Nevada
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Washington
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Oregon
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,California
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Alaska
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Hawaii
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Montana
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Idaho
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Wyoming
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Colorado
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,New Mexico
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Arizona
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Utah
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Nevada
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Washington
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Oregon
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,California
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Alaska
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Hawaii
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Montana
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Idaho
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Wyoming
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Colorado
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,New Mexico
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Arizona
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Utah
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Nevada
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Washington
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Oregon
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,California
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Alaska
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Hawaii
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Montana
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Idaho
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Wyoming
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Colorado
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,New Mexico
