year,month,city,region,category,cpi
1984,Jan,Los Angeles,West,All Items,102.3
1984,Jul,Los Angeles,West,All Items,104.9
1985,Jan,Los Angeles,West,All Items,107.0
1985,Jul,Los Angeles,West,All Items,109.8
1986,Jan,Los Angeles,West,All Items,111.1
1986,Jul,Los Angeles,West,All Items,112.8
1987,Jan,Los Angeles,West,All Items,115.5
1987,Jul,Los Angeles,West,All Items,117.9
1988,Jan,Los Angeles,West,All Items,120.7
1988,Jul,Los Angeles,West,All Items,123.4
1989,Jan,Los Angeles,West,All Items,126.8
1989,Jul,Los Angeles,West,All Items,129.8
1990,Jan,Los Angeles,West,All Items,134.0
1990,Jul,Los Angeles,West,All Items,137.7
1991,Jan,Los Angeles,West,All Items,140.3
1991,Jul,Los Angeles,West,All Items,142.6
1992,Jan,Los Angeles,West,All Items,145.5
1992,Jul,Los Angeles,West,All Items,147.6
1993,Jan,Los Angeles,West,All Items,149.8
1993,Jul,Los Angeles,West,All Items,150.7
1994,Jan,Los Angeles,West,All Items,151.9
1994,Jul,Los Angeles,West,All Items,152.7
1995,Jan,Los Angeles,West,All Items,154.7
1995,Jul,Los Angeles,West,All Items,154.6
1996,Jan,Los Angeles,West,All Items,156.9
1996,Jul,Los Angeles,West,All Items,158.1
1997,Jan,Los Angeles,West,All Items,159.5
1997,Jul,Los Angeles,West,All Items,160.5
1998,Jan,Los Angeles,West,All Items,161.6
1998,Jul,Los Angeles,West,All Items,162.9
1999,Jan,Los Angeles,West,All Items,165.3
1999,Jul,Los Angeles,West,All Items,166.8
2000,Jan,Los Angeles,West,All Items,170.1
2000,Jul,Los Angeles,West,All Items,173.0
2001,Jan,Los Angeles,West,All Items,176.5
2001,Jul,Los Angeles,West,All Items,178.2
2002,Jan,Los Angeles,West,All Items,181.1
2002,Jul,Los Angeles,West,All Items,183.3
2003,Jan,Los Angeles,West,All Items,186.7
2003,Jul,Los Angeles,West,All Items,187.2
2004,Jan,Los Angeles,West,All Items,191.5
2004,Jul,Los Angeles,West,All Items,194.9
2005,Jan,Los Angeles,West,All Items,199.2
2005,Jul,Los Angeles,West,All Items,204.5
2006,Jan,Los Angeles,West,All Items,209.3
2006,Jul,Los Angeles,West,All Items,211.6
2007,Jan,Los Angeles,West,All Items,216.26
2007,Jul,Los Angeles,West,All Items,218.416
2008,Jan,Los Angeles,West,All Items,224.377
2008,Jul,Los Angeles,West,All Items,225.638
2009,Jan,Los Angeles,West,All Items,221.943
2009,Jul,Los Angeles,West,All Items,224.495
2010,Jan,Los Angeles,West,All Items,225.491
2010,Jul,Los Angeles,West,All Items,226.298
2011,Jan,Los Angeles,West,All Items,231.606
2011,Jul,Los Angeles,West,All Items,232.251
2012,Jan,Los Angeles,West,All Items,235.807
2012,Jul,Los Angeles,West,All Items,237.488
2013,Jan,Los Angeles,West,All Items,239.229
2013,Jul,Los Angeles,West,All Items,239.185
2014,Jan,Los Angeles,West,All Items,242.122
2014,Jul,Los Angeles,West,All Items,242.746
2015,Jan,Los Angeles,West,All Items,243.313
2015,Jul,Los Angeles,West,All Items,245.951
2016,Jan,Los Angeles,West,All Items,248.309
2016,Jul,Los Angeles,West,All Items,250.184
2017,Jan,Los Angeles,West,All Items,254.439
2017,Jul,Los Angeles,West,All Items,257.982
1914,Dec,San Francisco,West,All Items,9.2
1915,Jan,San Francisco,West,All Items,
1915,Feb,San Francisco,West,All Items,
1915,Mar,San Francisco,West,All Items,
1915,Apr,San Francisco,West,All Items,
1915,May,San Francisco,West,All Items,
1915,Jun,San Francisco,West,All Items,
1915,Jul,San Francisco,West,All Items,
1915,Aug,San Francisco,West,All Items,
1915,Sep,San Francisco,West,All Items,
1915,Oct,San Francisco,West,All Items,
1915,Nov,San Francisco,West,All Items,
1915,Dec,San Francisco,West,All Items,9.2
1916,Jan,San Francisco,West,All Items,
1916,Feb,San Francisco,West,All Items,
1916,Mar,San Francisco,West,All Items,
1916,Apr,San Francisco,West,All Items,
1916,May,San Francisco,West,All Items,
1916,Jun,San Francisco,West,All Items,
1916,Jul,San Francisco,West,All Items,
1916,Aug,San Francisco,West,All Items,
1916,Sep,San Francisco,West,All Items,
1916,Oct,San Francisco,West,All Items,
1916,Nov,San Francisco,West,All Items,
1916,Dec,San Francisco,West,All Items,10.0
1917,Jan,San Francisco,West,All Items,
1917,Feb,San Francisco,West,All Items,
1917,Mar,San Francisco,West,All Items,
1917,Apr,San Francisco,West,All Items,
1917,May,San Francisco,West,All Items,
1917,Jun,San Francisco,West,All Items,
